City,State
Agra,Uttar Pradesh
Ahmedabad,Gujarat
Allahabad,Uttar Pradesh
Amritsar,Punjab
Aurangabad,Maharashtra
Bangalore,Karnataka
Bhopal,Madhya Pradesh
Bhubaneshwar,Odisha
Chandigarh,Chandigarh
Chennai,Tamil Nadu
Coimbatore,Tamil Nadu
Dehradun,Uttarakhand
Faridabad,Haryana
Ghaziabad,Uttar Pradesh
Goa,Goa
Gurgaon,Haryana
Guwahati,Assam
Hyderabad,Telangana
Indore,Madhya Pradesh
Jaipur,Rajasthan
Kanpur,Uttar Pradesh
Kochi,Kerala
Kolkata,West Bengal
Lucknow,Uttar Pradesh
Ludhiana,Punjab
Mangalore,Karnataka
Mohali,Punjab
Mumbai,Maharashtra
Mysore,Karnataka
Nagpur,Maharashtra
Nashik,Maharashtra
New Delhi,Delhi
Noida,Uttar Pradesh
Panchkula,Haryana
Patna,Bihar
Puducherry,Puducherry
Pune,Maharashtra
Ranchi,Jharkhand
Secunderabad,Telangana
Surat,Gujarat
Vadodara,Gujarat
Varanasi,Uttar Pradesh
Vizag,Andhra Pradesh
